Threads, Peak Performance
293,-53918.218750
294,-36908.343750
295,-40808.570312
296,-48609.898438
297,-45612.355469
298,-49962.148438
299,-65645.460938
300,-53126.500000
301,-61283.554688
302,-51292.472656
303,-45862.554688
304,-53650.398438
305,-49353.710938
306,-53343.988281
307,-53349.554688
308,-61315.476562
309,-58444.632812
310,-58436.789062
311,-66111.187500
312,-69162.062500
313,-67361.945312
314,-57589.941406
315,-66442.070312
316,-71373.664062
317,-64176.281250
318,-61631.921875
319,-64037.511719
320,-72331.507812
321,-63103.726562
322,-73780.414062
323,-79824.742188
324,-73603.265625
325,-74192.664062
326,-68944.546875
327,-67559.539062
328,-73824.695312
329,-65477.328125
330,-66483.882812
331,-58126.953125
332,-79279.281250
333,-69347.414062
334,-59897.027344
335,-68795.328125
336,-74465.796875
337,-62977.804688
338,-61535.050781
339,-59574.410156
340,-68187.304688
341,-54885.125000
342,-49844.234375
343,-52177.957031
344,-58219.390625
345,-56608.109375
346,-54462.410156
347,-53147.292969
348,-51119.468750
349,-55322.761719
350,-44935.082031
351,-45073.242188
352,-41350.769531
353,-39607.390625
354,-50059.058594
355,-50047.281250
356,-42112.878906
357,-33453.933594
358,-27336.115234
359,-30868.535156
360,-32188.943359
361,-25294.279297
362,-33721.746094
363,-30047.011719
364,-30041.341797
365,-20955.066406
366,-16812.777344
367,-23827.166016
368,-17079.818359
369,-18330.191406
370,-14428.230469
371,-12593.861328
372,-5607.953613
373,-9958.489258
374,-12334.109375
375,-12856.276367
376,9157.207031
377,-40.937397
378,11582.133789
379,-1049.284424
380,5182.674316
381,12559.084961
382,2395.031006
383,3640.800049
384,12255.957031
385,10690.551758
386,13990.064453
387,25340.509766
388,10912.021484
389,26451.785156
390,27057.458984
391,20041.427734
392,27076.560547
393,35193.960938
394,36236.101562
395,32653.400391
396,31360.474609
397,43606.148438
398,40581.937500
399,33852.542969
400,34355.109375
401,35669.484375
402,44147.539062
403,47852.949219
404,37339.671875
405,45708.296875
406,40143.656250
407,63457.023438
408,53104.875000
409,60928.828125
410,60595.683594
411,54117.972656
412,56522.187500
413,60369.378906
414,60708.183594
415,72456.609375
416,53096.851562
417,56864.339844
418,64774.238281
419,68459.960938
420,57950.191406
421,60297.203125
422,70119.062500
423,72451.781250
424,71492.242188
425,70948.296875
426,70281.531250
427,67010.125000
428,67755.632812
429,72693.085938
430,77509.734375
431,77164.960938
432,57752.457031
433,79488.687500
434,72728.273438
435,72311.265625
436,70443.156250
437,66342.093750
438,66692.132812
439,74952.703125
440,56141.816406
441,57144.343750
442,71834.039062
443,68562.312500
444,63945.867188
445,56760.863281
446,59287.417969
447,64222.613281
448,64076.062500
449,66372.171875
450,61746.878906
451,59742.714844
452,60482.042969
453,56332.714844
454,54604.578125
455,46132.281250
456,53987.246094
457,49694.363281
458,54139.957031
459,43078.460938
460,56083.382812
461,41055.203125
462,35414.359375
463,47359.730469
464,43982.968750
465,44455.769531
466,31249.035156
467,37590.121094
468,42271.449219
469,31081.314453
470,32501.980469
471,38079.308594
472,18446.939453
473,25759.507812
474,19509.250000
475,10449.186523
476,23877.064453
477,5106.709961
478,20524.251953
479,-533.604370
480,4757.047363
481,6138.646484
482,3820.676758
483,16108.354492
484,13602.893555
485,-3293.089844
486,-6705.985840
487,-3374.385986
488,-5812.773926
489,-9531.376953
490,-10869.067383
491,-9497.056641
492,-17580.859375
493,-1782.716797
494,-13866.719727
495,-19873.324219
496,-16096.002930
497,-31635.146484
498,-13689.018555
499,-30568.566406
500,-38810.613281
501,-34004.644531
502,-30843.726562
503,-27612.666016
504,-24061.185547
505,-43714.574219
506,-37463.921875
507,-36817.621094
508,-49956.675781
509,-49916.414062
510,-43311.074219
511,-54557.910156
512,-51152.460938
513,-65541.593750
514,-51975.414062
515,-54084.414062
516,-60924.101562
517,-62437.914062
518,-62355.667969
519,-56433.457031
520,-51040.167969
521,-66476.992188
522,-62522.089844
523,-72118.656250
524,-50894.914062
525,-57452.789062
526,-63830.925781
527,-68241.179688
528,-67597.687500
529,-67387.195312
530,-69078.273438
531,-52359.171875
532,-69676.101562
533,-59854.667969
534,-80354.859375
535,-71318.843750
536,-67160.890625
537,-60235.546875
538,-63375.328125
539,-79286.148438
540,-80782.023438
541,-74405.679688
542,-71298.609375
543,-61814.359375
544,-68654.531250
545,-74596.531250
546,-70993.562500
547,-64102.136719
548,-45805.917969
549,-66395.921875
550,-70386.031250
551,-69757.031250
552,-70437.562500
553,-51318.417969
554,-58455.031250
555,-67514.648438
556,-63189.484375
557,-50958.355469
558,-55023.917969
559,-52824.933594
560,-52496.132812
561,-66273.937500
562,-46326.132812
563,-56924.753906
564,-52196.710938
565,-57200.000000
566,-54574.335938
567,-46267.972656
568,-53470.023438
569,-45565.671875
570,-39394.992188
571,-23500.833984
572,-37783.808594
573,-42345.351562
574,-33727.117188
575,-30232.558594
576,-35779.742188
577,-27104.517578
578,-22433.230469
579,-27629.882812
580,-32317.283203
581,-15895.984375
582,-22804.105469
583,-25220.675781
584,-22826.500000
585,-6958.236328
586,-11104.180664
587,-12433.526367
588,-17202.361328
589,1918.073120
590,-1335.615845
