Performance
137.086042
Index,Sum
437,66342.085938
438,66692.132813
439,74952.695313
440,56141.828125
441,57144.343750
442,71834.039063
443,68562.304688
444,63945.863281
445,56760.867188
446,59287.414063
447,64222.609375
448,64076.054688
449,66372.179688
450,61746.878906
451,59742.707031
452,60482.031250
453,56332.710938
454,54604.582031
455,46132.277344
456,53987.253906
457,49694.363281
458,54139.976563
459,43078.468750
460,56083.378906
461,41055.207031
462,35414.359375
463,47359.730469
464,43982.953125
465,44455.785156
466,31249.041016
467,37590.125000
468,42271.449219
469,31081.310547
470,32501.980469
471,38079.316406
472,18446.933594
473,25759.519531
474,19509.248047
475,10449.189453
476,23877.062500
477,5106.712402
478,20524.253906
479,-533.605347
480,4757.040039
481,6138.642578
482,3820.678711
483,16108.354492
484,13602.894531
485,-3293.088867
486,-6705.981445
487,-3374.386719
488,-5812.777832
489,-9531.378906
490,-10869.064453
491,-9497.054688
492,-17580.863281
493,-1782.717163
494,-13866.717773
495,-19873.318359
496,-16095.997070
497,-31635.148438
498,-13689.018555
499,-30568.566406
500,-38810.613281
501,-34004.636719
502,-30843.718750
503,-27612.666016
504,-24061.185547
505,-43714.574219
506,-37463.914063
507,-36817.621094
508,-49956.667969
509,-49916.410156
510,-43311.082031
511,-54557.921875
512,-51152.445313
513,-65541.593750
514,-51975.406250
515,-54084.410156
516,-60924.101563
517,-62437.910156
518,-62355.664063
519,-56433.460938
520,-51040.171875
521,-66477.000000
522,-62522.093750
523,-72118.664063
524,-50894.917969
525,-57452.796875
526,-63830.941406
527,-68241.179688
528,-67597.679688
529,-67387.203125
530,-69078.265625
531,-52359.179688
532,-69676.093750
533,-59854.675781
534,-80354.867188
535,-71318.843750
536,-67160.890625
537,-60235.542969
538,-63375.328125
539,-79286.156250
540,-80782.031250
541,-74405.664063
542,-71298.609375
543,-61814.367188
544,-68654.531250
545,-74596.546875
546,-70993.554688
547,-64102.152344
548,-45805.906250
549,-66395.937500
550,-70386.023438
551,-69757.031250
552,-70437.562500
553,-51318.414063
554,-58455.019531
555,-67514.640625
556,-63189.488281
557,-50958.351563
558,-55023.914063
559,-52824.933594
560,-52496.128906
561,-66273.937500
562,-46326.132813
563,-56924.761719
564,-52196.710938
565,-57200.015625
566,-54574.343750
567,-46267.972656
568,-53470.031250
569,-45565.679688
570,-39394.984375
571,-23500.837891
572,-37783.812500
573,-42345.359375
