0,16,32,64
16000,553.86,938.28,920.66
32000,627.95,1163.44,1132.66
64000,683.51,1249.00,1279.43
128000,743.47,1403.71,1413.34
256000,762.00,1475.45,1478.24
512000,773.85,1521.00,1524.48
